rank,team,conference,winloss,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMSoS,OppO,OppD,AdjEMNCSOS
92,UNLV,MWC,18-15,7.49,107.6,100.1,65.8,0.01,5.96,109.9,104.0,3.76
93,Grand Canyon,WAC,26-7,7.22,107.9,100.6,71.5,0.019,-3.52,103.1,106.6,-3.24
94,Georgia Tech,ACC,17-16,7.14,107.7,100.6,68.6,0.001,6.44,110.5,104.1,-7.98
95,Bradley,MVC,26-8,7.1,111.5,104.4,65.6,0.097,0.09,107.6,107.5,-3.02
96,Notre Dame,ACC,15-18,7.06,111.3,104.3,64.8,-0.046,7.54,111.1,103.6,-0.3
97,Providence,BE,12-20,7.0,112.2,105.2,66.3,-0.097,9.71,111.9,102.2,-0.41
98,Troy,SB,23-10,6.88,107.7,100.8,66.4,-0.009,-2.96,105.3,108.2,1.15
99,Akron,MAC,28-6,6.57,113.7,107.2,71.4,0.071,-4.43,104.7,109.1,1.49
100,Oklahoma State,B12,15-17,6.35,107.8,101.4,71.5,0.074,11.77,112.8,101.0,-3.1
101,Northern Iowa,MVC,20-12,5.81,109.9,104.1,65.0,-0.006,0.01,107.1,107.1,-1.39
102,UAB,Amer,22-11,5.71,117.2,111.5,69.0,-0.021,-1.57,105.8,107.4,-8.76
103,St. Bonaventure,A10,22-11,5.64,106.3,100.7,64.4,0.045,1.43,107.6,106.1,-4.22
104,Virginia,ACC,15-17,5.29,110.7,105.4,61.2,0.016,8.67,111.1,102.4,0.87
105,UNC Wilmington,CAA,27-7,5.14,112.3,107.2,65.4,0.055,-4.67,104.9,109.5,-5.1
106,Saint Louis,A10,19-14,5.14,109.4,104.2,67.4,-0.009,3.47,108.1,104.7,-0.41
107,CSUN,BW,22-10,5.1,109.1,104.0,72.3,0.012,-2.36,105.3,107.6,-5.25
108,Washington,B10,13-18,5.04,109.1,104.1,67.7,0.011,12.68,113.7,101.0,-4.25
109,Loyola Chicago,A10,22-11,5.03,107.4,102.4,67.0,0.067,0.55,106.6,106.1,-9.17
110,Chattanooga,SC,24-9,4.93,115.2,110.3,66.5,0.045,-2.82,104.9,107.7,0.12
111,North Alabama,ASun,24-10,4.91,112.0,107.1,66.6,0.006,-5.6,104.7,110.3,-3.06
112,California,ACC,14-19,4.67,111.4,106.7,67.6,-0.038,6.76,111.0,104.2,-1.5
113,George Washington,A10,21-12,4.65,108.0,103.4,66.8,-0.023,-2.07,104.6,106.6,-11.45
